"year","month","day","question_count"
2016,5,19,154
2019,5,3,155
2014,2,13,100
2019,10,24,165
2016,11,3,127
2016,11,16,161
2009,1,30,1
2013,10,11,73
2016,7,3,55
2009,8,3,1
2013,10,28,82
2009,11,21,3
2010,1,18,3
2014,9,25,97
2012,2,3,28
2020,5,25,194
2012,3,19,38
2014,10,28,115
2011,12,11,12
2013,1,7,37
2017,11,25,85
2013,1,17,57
2018,1,16,156
2020,12,3,220
2013,1,20,30
2021,3,22,182
2015,6,23,168
2013,2,10,40
2018,2,24,89
2017,5,26,156
2012,1,20,25
2018,3,15,184
2017,5,29,135
2013,7,19,81
2012,1,27,24
2021,4,7,189
2013,3,6,67
2013,6,28,65
2013,6,30,41
2013,7,4,54
2015,8,17,138
2018,5,14,188
2018,5,16,196
2015,8,22,48
2021,6,1,179
2018,8,8,164
2018,8,13,154
2021,8,10,163
2019,11,18,168
2011,5,23,16
2014,7,26,40
2017,7,30,64
2015,8,24,120
2019,12,21,54
2011,7,7,16
2011,12,28,23
2018,11,28,178
2016,4,28,190
2018,10,17,172
2019,2,19,184
2016,2,29,135
2018,12,6,192
2016,3,3,159
2018,12,19,183
2021,6,21,156
2017,9,12,188
2017,11,3,162
2021,3,9,192
2013,2,5,69
2014,5,7,96
2011,5,13,13
2017,1,26,162
2013,3,19,90
2011,6,9,17
2020,3,1,89
2011,7,22,13
2017,3,5,78
2011,7,24,7
2017,3,15,199
2020,4,2,256
2014,7,6,46
2011,8,18,23
2017,3,30,169
2011,9,13,18
2011,10,9,9
2017,4,13,159
2011,10,12,30
2014,8,14,102
2017,4,23,78
2011,10,29,8
2014,3,8,55
2011,1,8,2
2019,11,13,205
2011,2,3,13
2014,3,21,115
2016,12,17,45
2011,3,7,19
2019,11,23,88
2011,4,5,25
2020,1,5,71
2017,1,21,79
2014,5,17,50
2010,2,1,2
2019,8,21,171
2010,6,14,7
2014,1,17,81
2010,7,27,8
2014,1,24,94
2016,10,8,65
2017,6,2,169
2017,6,22,194
2013,4,14,35
2013,10,31,74
2021,4,17,110
2014,10,18,42
2013,4,26,83
2020,9,11,188
2020,10,4,93
2014,9,10,106
2010,1,23,4
2013,4,29,70
2014,11,26,122
2020,8,3,170
2010,4,10,6
2015,7,16,166
2016,9,4,55
2010,5,18,7
2013,5,20,71
2021,4,24,82
2020,3,14,108
2014,7,1,75
2017,3,25,77
2011,9,8,24
2020,4,27,242
2011,11,2,35
2011,11,7,26
2017,5,14,64
2011,11,20,8
2011,11,27,16
2019,8,16,135
2019,10,17,159
2014,2,23,59
2010,3,9,3
2010,11,20,4
2010,12,3,4
2010,12,25,4
2010,4,5,5
2010,4,25,2
2013,12,23,49
2012,2,25,15
2019,9,9,150
2014,10,30,107
2010,7,20,6
2020,5,30,108
2014,11,4,126
2010,8,28,7
2020,6,4,220
2010,6,29,10
2013,5,27,32
2010,7,2,6
2010,8,11,6
2015,1,19,108
2010,9,19,3
2010,10,12,7
2020,7,29,198
2014,2,18,96
2014,12,12,90
2012,6,3,18
2013,8,12,70
2017,9,29,148
2013,1,2,37
2021,5,13,156
2017,10,20,184
2013,8,29,84
2015,9,10,143
2021,6,6,90
2013,9,3,73
2012,12,13,65
2012,9,1,22
2012,9,16,27
2012,9,21,31
2012,10,9,50
2012,10,31,31
2012,11,7,52
2012,11,17,32
2012,11,24,23
2012,12,18,49
2016,12,7,165
2012,12,23,20
2011,2,16,12
2016,12,24,43
2018,1,3,128
2011,3,17,10
2014,4,9,135
2014,4,22,112
2019,5,24,145
2013,9,9,69
2019,5,7,183
2013,9,24,80
2019,5,20,135
2016,6,14,156
2016,11,2,134
2010,11,14,2
2016,11,12,61
